Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy
0,2005,4,5,119,73,489,12,0,1,0,79315,0,11,0,4225,5380,7910,10108,4807,6077,8523,10124,19638,33619,5,5400,0,1623,1
0,2004,5,16,553,48,174,14,0,1,0,52106,0,5,1,2619,3561,6502,7274,3160,4376,6600,8074,5546,33619,5,4500,0,754,1
0,2002,7,6,238,92,58,2,0,1,0,56300,0,6,1,2989,3939,5731,6751,3062,4156,5622,6773,19638,33619,5,4900,0,1220,1
0,2001,8,6,717,53,515,4,0,1,0,82944,0,11,1,1805,2423,4318,5562,1840,2640,4407,5530,19638,33619,5,3600,0,2322,1
0,2004,6,6,262,73,197,14,0,1,0,73291,0,0,1,3443,4322,7636,9586,2897,3802,6112,7097,19619,33619,5,4100,0,1155,1
0,2003,7,27,25,82,261,0,0,1,0,90026,3,6,3,8811,10569,12602,15004,8234,9818,12146,13893,19638,33619,5,7900,0,1209,1
0,2005,5,22,323,36,156,11,0,1,0,75513,0,2,2,10122,11913,13679,15574,9316,10419,13219,14612,20928,33619,5,9100,0,1974,1
0,2001,9,6,262,112,40,1,0,1,0,95558,0,0,1,2006,2669,4031,4871,2371,3122,4957,5927,19638,33619,5,3700,0,1641,1
0,2001,9,3,630,6,309,14,0,1,0,86483,0,3,2,5498,6393,8910,9822,6614,7649,9808,10913,19619,33619,5,8300,0,2063,1
0,2002,8,6,460,6,11,14,0,1,0,64822,0,10,1,3442,4419,6382,7874,4347,5324,7185,8419,5546,33619,5,6100,0,1028,1
0,2003,7,6,262,73,357,5,0,1,0,64554,0,0,1,3129,4254,5786,6924,2902,3721,5946,6848,19638,33619,5,5300,0,1320,1
0,2005,5,3,343,6,109,14,0,2,1,60554,0,2,2,4690,5796,7488,9182,4340,5590,7370,9073,19638,33619,5,6200,0,1703,1
0,2001,9,6,232,23,315,12,0,1,0,63377,0,3,1,4769,6001,8035,9312,5199,6557,8239,9329,5546,33619,5,8300,0,1223,1
0,2007,3,4,507,95,109,13,0,2,1,73963,0,5,0,6261,7204,9489,10598,6057,7034,9404,10479,19638,33619,5,6400,0,1389,1
0,2004,6,3,3,48,463,6,0,2,1,62990,0,4,2,6217,7767,10090,11805,5309,6694,8983,11326,19619,33619,5,8300,0,1020,1
0,2004,6,6,238,103,287,13,0,1,0,78992,0,6,1,6702,7909,9788,11066,6659,7961,10137,11356,19619,33619,5,8300,0,1155,1
0,2004,6,4,507,6,109,12,0,2,1,60522,0,5,0,4196,5053,7137,8089,3534,4563,6998,9035,19619,33619,5,5900,0,1215,1
0,2002,8,1,489,6,109,14,0,1,0,73725,0,2,2,4862,6216,8540,10127,5500,7139,8546,9974,19619,33619,5,5900,0,2274,1
0,2006,4,9,592,30,147,13,0,1,0,61315,2,5,3,6860,8045,10461,11384,6554,7937,9788,11295,19638,33619,5,6700,0,728,1
0,2006,4,4,507,6,109,12,0,2,1,66568,0,5,0,5108,6069,8483,9557,4775,5796,8667,9390,20928,33619,5,6150,0,1215,1
0,2007,3,23,359,2,164,7,0,2,1,63079,0,5,2,6340,7574,9909,11051,6025,7220,9792,10587,20928,33619,5,5800,0,728,1
0,2004,6,6,636,75,200,5,0,1,0,79081,0,5,1,4017,5555,7330,9314,4017,5555,7301,9129,19638,33619,5,5500,0,920,1
0,2007,3,22,296,6,109,14,0,2,1,89443,0,5,2,6976,8174,10513,11445,6491,7771,9545,10739,5546,33619,5,6100,0,1113,1
0,2003,7,13,600,21,248,2,0,1,0,74273,2,6,3,5336,6663,8435,9596,4231,5156,7610,8321,5546,33619,5,7300,0,2157,1
0,2007,3,23,68,100,230,2,0,1,0,47555,0,5,2,8875,10274,12354,13695,8379,9784,12372,13654,5546,33619,5,8200,0,905,1
0,2008,2,13,602,21,140,2,0,2,1,61184,2,5,3,6796,7555,10140,10805,6628,7535,9605,10650,5546,33619,5,6100,0,533,1
0,2009,1,6,290,73,197,1,0,1,0,62846,0,5,1,11510,12950,16310,17717,12008,13466,16020,17274,19638,33619,5,8650,0,1118,1
0,2003,7,5,119,73,498,14,0,3,2,76650,0,11,0,3258,4022,6510,7392,3718,4482,6602,7447,19638,33619,5,5000,0,1923,1
0,2003,7,6,717,53,515,14,0,1,0,86003,0,11,1,2747,3929,5626,7013,2960,4204,6089,7252,5546,33619,5,4600,0,2322,1
0,2003,7,22,701,6,357,13,0,2,1,64139,0,5,2,3680,4673,6864,8224,3546,4644,6706,7941,5546,33619,5,5650,0,833,1
0,2003,7,3,120,48,175,13,0,1,0,92537,0,0,2,1915,2761,4410,5314,0,0,0,0,5546,33619,5,4550,0,1641,1
0,2007,2,3,691,48,526,6,0,1,0,81858,0,11,2,0,0,0,0,0,0,0,0,17675,20166,34,6985,0,2282,1
0,2005,4,3,409,48,169,6,0,1,0,80531,0,5,2,5497,7070,6437,8136,5215,6837,6132,7884,17675,20166,34,5475,0,1373,1
0,2005,4,3,344,6,109,4,0,2,1,82007,0,2,2,4602,6026,5470,7008,4267,5737,5108,6696,17675,20166,34,4665,0,2152,1
0,2002,7,6,641,53,185,12,0,2,1,70214,0,5,1,1708,2371,2345,3061,2478,3332,3176,4099,17675,20166,34,2230,0,1220,1
0,2006,3,3,444,48,25,1,0,2,1,89750,0,2,2,6867,7985,7916,9124,5809,7051,6774,8115,17675,20166,34,5275,0,2152,1
0,2004,5,23,365,2,164,6,0,2,1,91888,0,5,2,3836,4959,4643,5856,3852,4931,4660,5825,20740,20166,34,4140,0,909,1
0,2003,6,9,193,30,109,2,0,2,1,46237,2,5,3,2414,3203,3107,3959,2810,3701,3535,4497,20740,20166,34,4140,0,782,1
0,2002,7,4,510,95,223,13,0,2,1,75513,0,5,0,2743,3564,3462,4349,2685,3667,3400,4460,20740,20166,34,4365,0,1689,1
0,2003,6,3,670,48,292,1,0,1,0,70788,0,6,2,5524,6643,6466,7674,5419,6794,6353,7838,20740,20166,34,6985,0,2274,1
0,2006,3,3,345,48,169,14,0,2,1,51215,0,2,2,6976,8339,8034,9506,7203,8521,8279,9703,19619,20166,34,7905,0,1500,1
0,2006,3,5,616,89,109,13,0,2,1,60059,0,5,0,4496,5887,5356,6858,4739,6141,5618,7132,19619,20166,34,6295,0,1020,1
0,2007,2,9,594,56,109,2,0,1,0,66578,2,5,3,9790,11349,11073,12757,9731,11403,11009,12815,20740,20166,34,7795,0,728,1
0,2004,5,9,193,30,109,12,0,2,1,81862,2,5,3,3652,4714,4444,5591,3408,4456,4181,5312,20740,20166,34,4040,0,594,1
0,2004,5,5,615,73,109,13,0,2,1,73693,0,5,0,2761,3901,3482,4713,2587,3570,3294,4356,20740,20166,34,4865,0,1155,1
0,2005,4,26,276,70,109,2,0,2,1,54290,2,5,3,3569,4850,4355,5738,2969,3913,3707,4726,20740,20166,34,4965,0,505,1
0,2007,2,9,590,30,109,1,0,2,1,72668,2,5,3,9725,10770,11003,12132,9725,10770,11003,12132,20740,20166,34,6985,0,803,1
0,2006,4,15,423,119,158,12,0,1,0,60770,2,5,3,7153,8214,11577,12412,7141,8716,11285,12392,52117,20166,34,8370,0,923,1
0,2006,4,3,406,49,176,12,0,1,0,81352,0,5,2,6970,8505,10208,11902,7200,8813,10231,12224,52117,20166,34,6600,0,1373,1
0,2003,7,12,391,92,339,1,0,2,1,66550,0,7,0,5931,7109,9026,10186,6115,7930,10047,13029,52117,20166,34,7820,0,1125,1
0,2006,4,5,115,73,485,13,0,2,1,61251,0,11,0,5876,7124,9809,10964,5672,7140,8595,10484,19619,20166,34,6310,0,1411,1
0,2005,5,26,728,21,243,12,0,1,0,75406,2,6,3,6900,7968,10780,12372,6572,7516,10604,11680,52117,20166,34,7960,0,1623,1
0,2005,5,6,636,73,197,4,0,1,0,84663,0,5,1,3877,4893,6807,7973,3383,4538,6823,8068,52117,20166,34,3655,0,983,1
0,2005,5,4,657,95,501,12,0,1,0,65911,0,11,0,7507,8736,10766,12325,6189,7671,9500,11869,17675,20166,34,7820,0,1411,1
0,2003,7,22,314,73,205,14,0,1,0,46648,0,5,2,2900,3949,5396,6389,2401,3251,5398,6312,17675,20166,34,4290,0,1769,1
0,2001,9,23,544,79,216,12,0,2,1,65979,0,0,2,1815,2510,4485,5078,1935,2797,4425,5089,17675,20166,34,3665,0,1711,1
0,2005,5,5,179,81,298,13,0,1,0,76203,0,6,0,8260,10207,12152,14064,8175,9846,12608,14222,52117,20166,34,10125,0,1623,1
